# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu-clock:u'
# Event count (approx.): 14717171570
#
# Overhead|     Samples|Symbol                |Shared Object|IPC   [IPC Coverage]
 0.07%  | 1          |[.] 0x000000004b07d0b8|game         |-      -
 0.07%  | 1          |[.] 0x000000004b08216b|game         |-      -
 0.07%  | 1          |[.] 0x000000004b083df4|game         |-      -
 0.07%  | 1          |[.] 0x000000004b0de1d6|game         |-      -
 0.07%  | 1          |[.] 0x000000004b0e41e0|game         |-      -
 0.07%  | 1          |[.] 0x000000004b0e817a|game         |-      -
 0.07%  | 1          |[.] 0x000000004b0f0c7e|game         |-      -
 0.07%  | 1          |[.] 0x000000004b13b164|game         |-      -
 0.07%  | 1          |[.] 0x000000004b1a3bc8|game         |-      -
 0.07%  | 1          |[.] 0x000000004b1b959d|game         |-      -
 0.07%  | 1          |[.] 0x000000004b21242e|game         |-      -
 0.07%  | 1          |[.] 0x000000004b238f1c|game         |-      -
 0.07%  | 1          |[.] 0x000000004b23cdc8|game         |-      -
 0.07%  | 1          |[.] 0x000000004b2fdfb0|game         |-      -
 0.07%  | 1          |[.] 0x000000004b3c282b|game         |-      -
 0.07%  | 1          |[.] 0x000000004b3cf92f|game         |-      -
 0.07%  | 1          |[.] 0x000000004b401d38|game         |-      -
 0.07%  | 1          |[.] 0x000000004b41bdf3|game         |-      -
 0.07%  | 1          |[.] 0x000000004b4212c2|game         |-      -
 0.07%  | 1          |[.] 0x000000004b42d36b|game         |-      -
 0.07%  | 1          |[.] 0x000000004b42f25e|game         |-      -
 0.07%  | 1          |[.] 0x000000004b43dc12|game         |-      -
 0.07%  | 1          |[.] 0x000000004b4413fc|game         |-      -
 0.07%  | 1          |[.] 0x000000004b4427c5|game         |-      -
 0.07%  | 1          |[.] 0x000000004b4429f7|game         |-      -
 0.07%  | 1          |[.] 0x000000004b446104|game         |-      -
 0.07%  | 1          |[.] 0x000000004b446664|game         |-      -
 0.07%  | 1          |[.] 0x000000004b44669d|game         |-      -
 0.07%  | 1          |[.] 0x000000004b449f81|game         |-      -
 0.07%  | 1          |[.] 0x000000004b46e5b5|game         |-      -
 0.07%  | 1          |[.] 0x000000004b46f268|game         |-      -
 0.07%  | 1          |[.] 0x000000004b470a8f|game         |-      -
 0.07%  | 1          |[.] 0x000000004b48817f|game         |-      -
 0.07%  | 1          |[.] 0x000000004b48a0d3|game         |-      -
 0.07%  | 1          |[.] 0x000000004b48dfad|game         |-      -
 0.07%  | 1          |[.] 0x000000004b48e60e|game         |-      -
 0.07%  | 1          |[.] 0x000000004b490286|game         |-      -
 0.07%  | 1          |[.] 0x000000004b49681f|game         |-      -
 0.07%  | 1          |[.] 0x000000004b4ac260|game         |-      -
 0.07%  | 1          |[.] 0x000000004b4afb8c|game         |-      -
 0.07%  | 1          |[.] 0x000000004b4ba9ac|game         |-      -
 0.07%  | 1          |[.] 0x000000004b4bc495|game         |-      -
 0.07%  | 1          |[.] 0x000000004b4bc614|game         |-      -
 0.07%  | 1          |[.] 0x000000004b4bd1e7|game         |-      -
 0.07%  | 1          |[.] 0x000000004b4be0f1|game         |-      -
 0.07%  | 1          |[.] 0x000000004b4c0ab0|game         |-      -
 0.07%  | 1          |[.] 0x000000004b4c0ca1|game         |-      -
 0.07%  | 1          |[.] 0x000000004b4cef8c|game         |-      -
 0.07%  | 1          |[.] 0x000000004b4d40f4|game         |-      -
 0.07%  | 1          |[.] 0x000000004b4d768f|game         |-      -
 0.07%  | 1          |[.] 0x000000004b4dd5df|game         |-      -
 0.07%  | 1          |[.] 0x000000004b4f27ee|game         |-      -
 0.07%  | 1          |[.] 0x000000004b50abd7|game         |-      -
 0.07%  | 1          |[.] 0x000000004b50ee20|game         |-      -
 0.07%  | 1          |[.] 0x000000004b50f440|game         |-      -
 0.07%  | 1          |[.] 0x000000004b50fd8f|game         |-      -
 0.07%  | 1          |[.] 0x000000004b51202f|game         |-      -
 0.07%  | 1          |[.] 0x000000004b513512|game         |-      -
 0.07%  | 1          |[.] 0x000000004b6715be|game         |-      -
 0.07%  | 1          |[.] 0x000000004b8655a4|game         |-      -
 0.07%  | 1          |[.] 0x000000004b86849a|game         |-      -
 0.07%  | 1          |[.] 0x000000004b887050|game         |-      -
 0.07%  | 1          |[.] 0x000000004b8a5377|game         |-      -
 0.07%  | 1          |[.] 0x000000004b992545|game         |-      -
